planId,planName,planCode,provisionType,suggestedService,serviceId,exampleSkus
621,n2d-highmem-64 - 64 vCPUs 512 GB RAM,n2d-highmem-64,Google,Compute Engine,,
623,n2d-highmem-80 - 80 vCPUs 640 GB RAM,n2d-highmem-80,Google,Compute Engine,,
624,n2d-highmem-96 - 96 vCPUs 768 GB RAM,n2d-highmem-96,Google,Compute Engine,,
607,n2d-highcpu-2 - 2 vCPUs 2 GB RAM,n2d-highcpu-2,Google,Compute Engine,,
610,n2d-highcpu-4 - 4 vCPUs 4 GB RAM,n2d-highcpu-4,Google,Compute Engine,,
613,n2d-highcpu-8 - 8 vCPUs 8 GB RAM,n2d-highcpu-8,Google,Compute Engine,,
606,n2d-highcpu-16 - 16 vCPUs 16 GB RAM,n2d-highcpu-16,Google,Compute Engine,,
609,n2d-highcpu-32 - 32 vCPUs 32 GB RAM,n2d-highcpu-32,Google,Compute Engine,,
611,n2d-highcpu-48 - 48 vCPUs 48 GB RAM,n2d-highcpu-48,Google,Compute Engine,,
612,n2d-highcpu-64 - 64 vCPUs 64 GB RAM,n2d-highcpu-64,Google,Compute Engine,,
614,n2d-highcpu-80 - 80 vCPUs 80 GB RAM,n2d-highcpu-80,Google,Compute Engine,,
615,n2d-highcpu-96 - 96 vCPUs 96 GB RAM,n2d-highcpu-96,Google,Compute Engine,,
605,n2d-highcpu-128 - 128 vCPUs 128 GB RAM,n2d-highcpu-128,Google,Compute Engine,,
608,n2d-highcpu-224 - 224 vCPUs 224 GB RAM,n2d-highcpu-224,Google,Compute Engine,,
156,n2d-custom,n2d-custom-google,Google,Compute Engine,,
267,"c2d-highcpu-2 - 2 vCPUs, 4 GB RAM",c2d-highcpu-2,Google,Compute Engine,,
269,"c2d-highcpu-4 - 4 vCPUs, 8 GB RAM",c2d-highcpu-4,Google,Compute Engine,,
281,"c2d-standard-2 - 2 vCPUs, 8 GB RAM",c2d-standard-2,Google,Compute Engine,,
262,"c2-standard-4 - Compute Optimized: 4 vCPUs, 16 GB RAM",c2-standard-4,Google,Compute Engine,,
271,"c2d-highcpu-8 - 8 vCPUs, 16 GB RAM",c2d-highcpu-8,Google,Compute Engine,,
274,"c2d-highmem-2 - 2 vCPUs, 16 GB RAM",c2d-highmem-2,Google,Compute Engine,,
283,"c2d-standard-4 - 4 vCPUs, 16 GB RAM",c2d-standard-4,Google,Compute Engine,,
264,"c2-standard-8 - Compute Optimized: 8 vCPUs, 32 GB RAM",c2-standard-8,Google,Compute Engine,,
266,"c2d-highcpu-16 - 16 vCPUs, 32 GB RAM",c2d-highcpu-16,Google,Compute Engine,,
276,"c2d-highmem-4 - 4 vCPUs, 32 GB RAM",c2d-highmem-4,Google,Compute Engine,,
285,"c2d-standard-8 - 8 vCPUs, 32 GB RAM",c2d-standard-8,Google,Compute Engine,,
260,"c2-standard-16 - Compute Optimized: 16 vCPUs, 64 GB RAM",c2-standard-16,Google,Compute Engine,,
268,"c2d-highcpu-32 - 32 vCPUs, 64 GB RAM",c2d-highcpu-32,Google,Compute Engine,,
278,"c2d-highmem-8 - 8 vCPUs, 64 GB RAM",c2d-highmem-8,Google,Compute Engine,,
280,"c2d-standard-16 - 16 vCPUs, 64 GB RAM",c2d-standard-16,Google,Compute Engine,,
270,"c2d-highcpu-56 - 56 vCPUs, 112 GB RAM",c2d-highcpu-56,Google,Compute Engine,,
261,"c2-standard-30 - Compute Optimized: 30 vCPUs, 120 GB RAM",c2-standard-30,Google,Compute Engine,,
273,"c2d-highmem-16 - 16 vCPUs, 128 GB RAM",c2d-highmem-16,Google,Compute Engine,,
282,"c2d-standard-32 - 32 vCPUs, 128 GB RAM",c2d-standard-32,Google,Compute Engine,,
265,"c2d-highcpu-112 - 112 vCPUs, 224 GB RAM",c2d-highcpu-112,Google,Compute Engine,,
284,"c2d-standard-56 - 56 vCPUs, 224 GB RAM",c2d-standard-56,Google,Compute Engine,,
263,"c2-standard-60 - Compute Optimized: 60 vCPUs, 240 GB RAM",c2-standard-60,Google,Compute Engine,,
275,"c2d-highmem-32 - 32 vCPUs, 256 GB RAM",c2d-highmem-32,Google,Compute Engine,,
277,"c2d-highmem-56 - 56 vCPUs, 448 GB RAM",c2d-highmem-56,Google,Compute Engine,,
279,"c2d-standard-112 - 112 vCPUs, 448 GB RAM",c2d-standard-112,Google,Compute Engine,,
272,"c2d-highmem-112 - 112 vCPUs, 896 GB RAM",c2d-highmem-112,Google,Compute Engine,,
530,"m1-megamem-96 - 96 vCPUs, 1.4 TB RAM",m1-megamem-96,Google,Compute Engine,,
532,"m1-ultramem-40 - 40 vCPUs, 961 GB RAM",m1-ultramem-40,Google,Compute Engine,,
533,"m1-ultramem-80 - 80 vCPUs, 1922 GB RAM",m1-ultramem-80,Google,Compute Engine,,
531,"m1-ultramem-160 - 160 vCPUs, 3844 GB RAM",m1-ultramem-160,Google,Compute Engine,,
244,"a2-highgpu-1g - Accelerator Optimized: 1 NVIDIA Tesla A100 GPU, 12 vCPUs, 85GB RAM",a2-highgpu-1g,Google,Compute Engine,,
245,"a2-highgpu-2g - Accelerator Optimized: 2 NVIDIA Tesla A100 GPUs, 24 vCPUs, 170GB RAM",a2-highgpu-2g,Google,Compute Engine,,
246,"a2-highgpu-4g - Accelerator Optimized: 4 NVIDIA Tesla A100 GPUs, 48 vCPUs, 340GB RAM",a2-highgpu-4g,Google,Compute Engine,,
247,"a2-highgpu-8g - Accelerator Optimized: 8 NVIDIA Tesla A100 GPUs, 96 vCPUs, 680GB RAM",a2-highgpu-8g,Google,Compute Engine,,
248,"a2-megagpu-16g - Accelerator Optimized: 16 NVIDIA Tesla A100 GPUs, 96 vCPUs, 1360GB RAM",a2-megagpu-16g,Google,Compute Engine,,
406,"c4a-highcpu-1 - 1 vCPUs, 2 GB RAM",c4a-highcpu-1,Google,,,
449,"c4d-highcpu-2 - 2 vCPUs, 3 GB RAM",c4d-highcpu-2,Google,,,
353,"c4-highcpu-2 - 2 vCPUs, 4 GB RAM",c4-highcpu-2,Google,,,
408,"c4a-highcpu-2 - 2 vCPUs, 4 GB RAM",c4a-highcpu-2,Google,,,
431,"c4a-standard-1 - 1 vCPUs, 4 GB RAM",c4a-standard-1,Google,,,
637,"n4-highcpu-2 - 2 vCPUs, 4 GB RAM",n4-highcpu-2,Google,,,
660,"t2a-standard-1 - 1 vCPUs, 4 GB RAM",t2a-standard-1,Google,,,
667,"t2d-standard-1 - 1 vCPUs, 4 GB RAM",t2d-standard-1,Google,Compute Engine,,
390,"c4-standard-2 - 2 vCPUs, 7 GB RAM",c4-standard-2,Google,,,
452,"c4d-highcpu-4 - 4 vCPUs, 7 GB RAM",c4d-highcpu-4,Google,,,
479,"c4d-standard-2 - 2 vCPUs, 7 GB RAM",c4d-standard-2,Google,,,
288,"c3-highcpu-4 - 4 vCPUs, 8 GB RAM",c3-highcpu-4,Google,Compute Engine,,
316,"c3d-highcpu-4 - 4 vCPUs, 8 GB RAM",c3d-highcpu-4,Google,Compute Engine,,
358,"c4-highcpu-4 - 4 vCPUs, 8 GB RAM",c4-highcpu-4,Google,,,
410,"c4a-highcpu-4 - 4 vCPUs, 8 GB RAM",c4a-highcpu-4,Google,,,
415,"c4a-highmem-1 - 1 vCPUs, 8 GB RAM",c4a-highmem-1,Google,,,
434,"c4a-standard-2 - 2 vCPUs, 8 GB RAM",c4a-standard-2,Google,,,
639,"n4-highcpu-4 - 4 vCPUs, 8 GB RAM",n4-highcpu-4,Google,,,
653,"n4-standard-2 - 2 vCPUs, 8 GB RAM",n4-standard-2,Google,,,
662,"t2a-standard-2 - 2 vCPUs, 8 GB RAM",t2a-standard-2,Google,,,
669,"t2d-standard-2 - 2 vCPUs, 8 GB RAM",t2d-standard-2,Google,Compute Engine,,
368,"c4-highmem-2 - 2 vCPUs, 15 GB RAM",c4-highmem-2,Google,,,
398,"c4-standard-4 - 4 vCPUs, 15 GB RAM",c4-standard-4,Google,,,
399,"c4-standard-4-lssd - 4 vCPUs, 15 GB RAM",c4-standard-4-lssd,Google,,,
455,"c4d-highcpu-8 - 8 vCPUs, 15 GB RAM",c4d-highcpu-8,Google,,,
461,"c4d-highmem-2 - 2 vCPUs, 15 GB RAM",c4d-highmem-2,Google,,,
484,"c4d-standard-4 - 4 vCPUs, 15 GB RAM",c4d-standard-4,Google,,,
290,"c3-highcpu-8 - 8 vCPUs, 16 GB RAM",c3-highcpu-8,Google,Compute Engine,,
304,"c3-standard-4 - 4 vCPUs, 16 GB RAM",c3-standard-4,Google,Compute Engine,,
305,"c3-standard-4-lssd - 4 vCPUs, 16 GB RAM, 1 local SSD",c3-standard-4-lssd,Google,Compute Engine,,
318,"c3d-highcpu-8 - 8 vCPUs, 16 GB RAM",c3d-highcpu-8,Google,Compute Engine,,
343,"c3d-standard-4 - 4 vCPUs, 16 GB RAM",c3d-standard-4,Google,Compute Engine,,
360,"c4-highcpu-8 - 8 vCPUs, 16 GB RAM",c4-highcpu-8,Google,,,
414,"c4a-highcpu-8 - 8 vCPUs, 16 GB RAM",c4a-highcpu-8,Google,,,
418,"c4a-highmem-2 - 2 vCPUs, 16 GB RAM",c4a-highmem-2,Google,,,
437,"c4a-standard-4 - 4 vCPUs, 16 GB RAM",c4a-standard-4,Google,,,
438,"c4a-standard-4-lssd - 4 vCPUs, 16 GB RAM, 1 local SSD",c4a-standard-4-lssd,Google,,,
525,"g2-standard-4 - Graphics Optimized: 1 NVIDIA L4 GPU, 4 vCPUs, 16GB RAM",g2-standard-4,Google,,,
642,"n4-highcpu-8 - 8 vCPUs, 16 GB RAM",n4-highcpu-8,Google,,,
645,"n4-highmem-2 - 2 vCPUs, 16 GB RAM",n4-highmem-2,Google,,,
655,"n4-standard-4 - 4 vCPUs, 16 GB RAM",n4-standard-4,Google,,,
664,"t2a-standard-4 - 4 vCPUs, 16 GB RAM",t2a-standard-4,Google,,,
671,"t2d-standard-4 - 4 vCPUs, 16 GB RAM",t2d-standard-4,Google,Compute Engine,,
402,"c4-standard-8 - 8 vCPUs, 30 GB RAM",c4-standard-8,Google,,,
403,"c4-standard-8-lssd - 8 vCPUs, 30 GB RAM",c4-standard-8-lssd,Google,,,
447,"c4d-highcpu-16 - 16 vCPUs, 30 GB RAM",c4d-highcpu-16,Google,,,
376,"c4-highmem-4 - 4 vCPUs, 31 GB RAM",c4-highmem-4,Google,,,
377,"c4-highmem-4-lssd - 4 vCPUs, 31 GB RAM",c4-highmem-4-lssd,Google,,,
466,"c4d-highmem-4 - 4 vCPUs, 31 GB RAM",c4d-highmem-4,Google,,,
489,"c4d-standard-8 - 8 vCPUs, 31 GB RAM",c4d-standard-8,Google,,,
490,"c4d-standard-8-lssd - 8 vCPUs, 31 GB RAM, 1 local SSD",c4d-standard-8-lssd,Google,,,
295,"c3-highmem-4 - 4 vCPUs, 32 GB RAM",c3-highmem-4,Google,Compute Engine,,
308,"c3-standard-8 - 8 vCPUs, 32 GB RAM",c3-standard-8,Google,Compute Engine,,
309,"c3-standard-8-lssd - 8 vCPUs, 32 GB RAM, 2 local SSDs",c3-standard-8-lssd,Google,Compute Engine,,
312,"c3d-highcpu-16 - 16 vCPUs, 32 GB RAM",c3d-highcpu-16,Google,Compute Engine,,
328,"c3d-highmem-4 - 4 vCPUs, 32 GB RAM",c3d-highmem-4,Google,Compute Engine,,
346,"c3d-standard-8 - 8 vCPUs, 32 GB RAM",c3d-standard-8,Google,Compute Engine,,
347,"c3d-standard-8-lssd - 8 vCPUs, 32 GB RAM, 1 local SSD",c3d-standard-8-lssd,Google,Compute Engine,,
351,"c4-highcpu-16 - 16 vCPUs, 32 GB RAM",c4-highcpu-16,Google,,,
407,"c4a-highcpu-16 - 16 vCPUs, 32 GB RAM",c4a-highcpu-16,Google,,,
421,"c4a-highmem-4 - 4 vCPUs, 32 GB RAM",c4a-highmem-4,Google,,,
422,"c4a-highmem-4-lssd - 4 vCPUs, 32 GB RAM, 1 local SSD",c4a-highmem-4-lssd,Google,,,
445,"c4a-standard-8 - 8 vCPUs, 32 GB RAM",c4a-standard-8,Google,,,
446,"c4a-standard-8-lssd - 8 vCPUs, 32 GB RAM, 2 local SSD",c4a-standard-8-lssd,Google,,,
527,"g2-standard-8 - Graphics Optimized: 1 NVIDIA L4 GPU, 8 vCPUs, 32GB RAM",g2-standard-8,Google,,,
636,"n4-highcpu-16 - 16 vCPUs, 32 GB RAM",n4-highcpu-16,Google,,,
647,"n4-highmem-4 - 4 vCPUs, 32 GB RAM",n4-highmem-4,Google,,,
658,"n4-standard-8 - 8 vCPUs, 32 GB RAM",n4-standard-8,Google,,,
666,"t2a-standard-8 - 8 vCPUs, 32 GB RAM",t2a-standard-8,Google,,,
674,"t2d-standard-8 - 8 vCPUs, 32 GB RAM",t2d-standard-8,Google,Compute Engine,,
287,"c3-highcpu-22 - 22 vCPUs, 44 GB RAM",c3-highcpu-22,Google,Compute Engine,,
354,"c4-highcpu-24 - 24 vCPUs, 48 GB RAM",c4-highcpu-24,Google,,,
495,"ct5l-hightpu-1t - 24 vCPUs, 48 GB RAM, 1 Google TPUs",ct5l-hightpu-1t,Google,,,
498,"ct5lp-hightpu-1t - 24 vCPUs, 48 GB RAM, 1 Google TPUs",ct5lp-hightpu-1t,Google,,,
521,"g2-standard-12 - Graphics Optimized: 1 NVIDIA L4 GPU, 12 vCPUs, 48GB RAM",g2-standard-12,Google,,,
314,"c3d-highcpu-30 - 30 vCPUs, 59 GB RAM",c3d-highcpu-30,Google,Compute Engine,,
386,"c4-standard-16 - 16 vCPUs, 60 GB RAM",c4-standard-16,Google,,,
387,"c4-standard-16-lssd - 16 vCPUs, 60 GB RAM",c4-standard-16-lssd,Google,,,
450,"c4d-highcpu-32 - 32 vCPUs, 60 GB RAM",c4d-highcpu-32,Google,,,
380,"c4-highmem-8 - 8 vCPUs, 62 GB RAM",c4-highmem-8,Google,,,
381,"c4-highmem-8-lssd - 8 vCPUs, 62 GB RAM",c4-highmem-8-lssd,Google,,,
475,"c4d-standard-16 - 16 vCPUs, 62 GB RAM",c4d-standard-16,Google,,,
476,"c4d-standard-16-lssd - 16 vCPUs, 62 GB RAM, 1 local SSD",c4d-standard-16-lssd,Google,,,
471,"c4d-highmem-8 - 8 vCPUs, 63 GB RAM",c4d-highmem-8,Google,,,
472,"c4d-highmem-8-lssd - 8 vCPUs, 63 GB RAM, 1 local SSD",c4d-highmem-8-lssd,Google,,,
297,"c3-highmem-8 - 8 vCPUs, 64 GB RAM",c3-highmem-8,Google,Compute Engine,,
331,"c3d-highmem-8 - 8 vCPUs, 64 GB RAM",c3d-highmem-8,Google,Compute Engine,,
332,"c3d-highmem-8-lssd - 8 vCPUs, 64 GB RAM, 1 local SSD",c3d-highmem-8-lssd,Google,Compute Engine,,
335,"c3d-standard-16 - 16 vCPUs, 64 GB RAM",c3d-standard-16,Google,Compute Engine,,
336,"c3d-standard-16-lssd - 16 vCPUs, 64 GB RAM, 1 local SSD",c3d-standard-16-lssd,Google,Compute Engine,,
357,"c4-highcpu-32 - 32 vCPUs, 64 GB RAM",c4-highcpu-32,Google,,,
409,"c4a-highcpu-32 - 32 vCPUs, 64 GB RAM",c4a-highcpu-32,Google,,,
429,"c4a-highmem-8 - 8 vCPUs, 64 GB RAM",c4a-highmem-8,Google,,,
430,"c4a-highmem-8-lssd - 8 vCPUs, 64 GB RAM, 2 local SSD",c4a-highmem-8-lssd,Google,,,
432,"c4a-standard-16 - 16 vCPUs, 64 GB RAM",c4a-standard-16,Google,,,
433,"c4a-standard-16-lssd - 16 vCPUs, 64 GB RAM, 4 local SSD",c4a-standard-16-lssd,Google,,,
522,"g2-standard-16 - Graphics Optimized: 1 NVIDIA L4 GPU, 16 vCPUs, 64GB RAM",g2-standard-16,Google,,,
638,"n4-highcpu-32 - 32 vCPUs, 64 GB RAM",n4-highcpu-32,Google,,,
650,"n4-highmem-8 - 8 vCPUs, 64 GB RAM",n4-highmem-8,Google,,,
652,"n4-standard-16 - 16 vCPUs, 64 GB RAM",n4-standard-16,Google,,,
661,"t2a-standard-16 - 16 vCPUs, 64 GB RAM",t2a-standard-16,Google,,,
668,"t2d-standard-16 - 16 vCPUs, 64 GB RAM",t2d-standard-16,Google,Compute Engine,,
688,"z3-highmem-8-highlssd - 8 vCPUs, 64 GB RAM, 1 Local SSDs",z3-highmem-8-highlssd,Google,,,
289,"c3-highcpu-44 - 44 vCPUs, 88 GB RAM",c3-highcpu-44,Google,Compute Engine,,
302,"c3-standard-22 - 22 vCPUs, 88 GB RAM",c3-standard-22,Google,Compute Engine,,
303,"c3-standard-22-lssd - 22 vCPUs, 88 GB RAM, 4 local SSDs",c3-standard-22-lssd,Google,Compute Engine,,
391,"c4-standard-24 - 24 vCPUs, 90 GB RAM",c4-standard-24,Google,,,
392,"c4-standard-24-lssd - 24 vCPUs, 90 GB RAM, 4 local SSDs",c4-standard-24-lssd,Google,,,
453,"c4d-highcpu-48 - 48 vCPUs, 90 GB RAM",c4d-highcpu-48,Google,,,
359,"c4-highcpu-48 - 48 vCPUs, 96 GB RAM",c4-highcpu-48,Google,,,
411,"c4a-highcpu-48 - 48 vCPUs, 96 GB RAM",c4a-highcpu-48,Google,,,
523,"g2-standard-24 - Graphics Optimized: 2 NVIDIA L4 GPUs, 24 vCPUs, 96GB RAM",g2-standard-24,Google,,,
640,"n4-highcpu-48 - 48 vCPUs, 96 GB RAM",n4-highcpu-48,Google,,,
678,"z3-highmem-14-standardlssd - 14 vCPUs, 112 GB RAM, 1 Local SSDs",z3-highmem-14-standardlssd,Google,,,
317,"c3d-highcpu-60 - 60 vCPUs, 118 GB RAM",c3d-highcpu-60,Google,Compute Engine,,
339,"c3d-standard-30 - 30 vCPUs, 120 GB RAM",c3d-standard-30,Google,Compute Engine,,
340,"c3d-standard-30-lssd - 30 vCPUs, 120 GB RAM, 2 local SSDs",c3d-standard-30-lssd,Google,Compute Engine,,
