planId,planName,planCode,provisionType,description
518,"e2-standard-8 - Efficient Instance, 8 vCPUs, 32 GB RAM",e2-standard-8,Google,"Efficient Instance, 8 vCPUs, 32 GB RAM"
514,"e2-standard-16 - Efficient Instance, 16 vCPUs, 64 GB RAM",e2-standard-16,Google,"Efficient Instance, 16 vCPUs, 64 GB RAM"
516,"e2-standard-32 - Efficient Instance, 32 vCPUs, 128 GB RAM",e2-standard-32,Google,"Efficient Instance, 32 vCPUs, 128 GB RAM"
157,e2-custom,e2-custom-google,Google,e2-custom
508,"e2-highmem-2 - Efficient Instance, 2 vCPUs, 16 GB RAM",e2-highmem-2,Google,"Efficient Instance, 2 vCPUs, 16 GB RAM"
509,"e2-highmem-4 - Efficient Instance, 4 vCPUs, 32 GB RAM",e2-highmem-4,Google,"Efficient Instance, 4 vCPUs, 32 GB RAM"
510,"e2-highmem-8 - Efficient Instance, 8 vCPUs, 64 GB RAM",e2-highmem-8,Google,"Efficient Instance, 8 vCPUs, 64 GB RAM"
507,"e2-highmem-16 - Efficient Instance, 16 vCPUs, 128 GB RAM",e2-highmem-16,Google,"Efficient Instance, 16 vCPUs, 128 GB RAM"
503,"e2-highcpu-2 - Efficient Instance, 2 vCPUs, 2 GB RAM",e2-highcpu-2,Google,"Efficient Instance, 2 vCPUs, 2 GB RAM"
505,"e2-highcpu-4 - Efficient Instance, 4 vCPUs, 4 GB RAM",e2-highcpu-4,Google,"Efficient Instance, 4 vCPUs, 4 GB RAM"
506,"e2-highcpu-8 - Efficient Instance, 8 vCPUs, 8 GB RAM",e2-highcpu-8,Google,"Efficient Instance, 8 vCPUs, 8 GB RAM"
502,"e2-highcpu-16 - Efficient Instance, 16 vCPUs, 16 GB RAM",e2-highcpu-16,Google,"Efficient Instance, 16 vCPUs, 16 GB RAM"
504,"e2-highcpu-32 - Efficient Instance, 32 vCPUs, 32 GB RAM",e2-highcpu-32,Google,"Efficient Instance, 32 vCPUs, 32 GB RAM"
597,n2-standard-2 - 2 vCPUs 8 GB RAM,n2-standard-2,Google,2 vCPUs 8 GB RAM
599,n2-standard-4 - 4 vCPUs 16 GB RAM,n2-standard-4,Google,4 vCPUs 16 GB RAM
602,n2-standard-8 - 8 vCPUs 32 GB RAM,n2-standard-8,Google,8 vCPUs 32 GB RAM
596,n2-standard-16 - 16 vCPUs 64 GB RAM,n2-standard-16,Google,16 vCPUs 64 GB RAM
598,n2-standard-32 - 32 vCPUs 128 GB RAM,n2-standard-32,Google,32 vCPUs 128 GB RAM
600,n2-standard-48 - 48 vCPUs 192 GB RAM,n2-standard-48,Google,48 vCPUs 192 GB RAM
601,n2-standard-64 - 64 vCPUs 256 GB RAM,n2-standard-64,Google,64 vCPUs 256 GB RAM
603,n2-standard-80 - 80 vCPUs 320 GB RAM,n2-standard-80,Google,80 vCPUs 320 GB RAM
604,n2-standard-96 - 96 vCPUs 384 GB RAM,n2-standard-96,Google,96 vCPUs 384 GB RAM
595,n2-standard-128 - 128 vCPUs 512 GB RAM,n2-standard-128,Google,128 vCPUs 512 GB RAM
587,n2-highmem-2 - 2 vCPUs 16 GB RAM,n2-highmem-2,Google,2 vCPUs 16 GB RAM
589,n2-highmem-4 - 4 vCPUs 32 GB RAM,n2-highmem-4,Google,4 vCPUs 32 GB RAM
592,n2-highmem-8 - 8 vCPUs 64 GB RAM,n2-highmem-8,Google,8 vCPUs 64 GB RAM
586,n2-highmem-16 - 16 vCPUs 128 GB RAM,n2-highmem-16,Google,16 vCPUs 128 GB RAM
588,n2-highmem-32 - 32 vCPUs 256 GB RAM,n2-highmem-32,Google,32 vCPUs 256 GB RAM
590,n2-highmem-48 - 48 vCPUs 384 GB RAM,n2-highmem-48,Google,48 vCPUs 384 GB RAM
591,n2-highmem-64 - 64 vCPUs 512 GB RAM,n2-highmem-64,Google,64 vCPUs 512 GB RAM
593,n2-highmem-80 - 80 vCPUs 640 GB RAM,n2-highmem-80,Google,80 vCPUs 640 GB RAM
594,n2-highmem-96 - 96 vCPUs 768 GB RAM,n2-highmem-96,Google,96 vCPUs 768 GB RAM
585,n2-highmem-128 - 128 vCPUs 864 GB RAM,n2-highmem-128,Google,128 vCPUs 864 GB RAM
577,n2-highcpu-2 - 2 vCPUs 2 GB RAM,n2-highcpu-2,Google,2 vCPUs 2 GB RAM
579,n2-highcpu-4 - 4 vCPUs 4 GB RAM,n2-highcpu-4,Google,4 vCPUs 4 GB RAM
582,n2-highcpu-8 - 8 vCPUs 8 GB RAM,n2-highcpu-8,Google,8 vCPUs 8 GB RAM
576,n2-highcpu-16 - 16 vCPUs 16 GB RAM,n2-highcpu-16,Google,16 vCPUs 16 GB RAM
578,n2-highcpu-32 - 32 vCPUs 32 GB RAM,n2-highcpu-32,Google,32 vCPUs 32 GB RAM
580,n2-highcpu-48 - 48 vCPUs 48 GB RAM,n2-highcpu-48,Google,48 vCPUs 48 GB RAM
581,n2-highcpu-64 - 64 vCPUs 64 GB RAM,n2-highcpu-64,Google,64 vCPUs 64 GB RAM
583,n2-highcpu-80 - 80 vCPUs 80 GB RAM,n2-highcpu-80,Google,80 vCPUs 80 GB RAM
584,n2-highcpu-96 - 96 vCPUs 96 GB RAM,n2-highcpu-96,Google,96 vCPUs 96 GB RAM
155,n2-custom,n2-custom-google,Google,n2-custom
627,n2d-standard-2 - 2 vCPUs 8 GB RAM,n2d-standard-2,Google,2 vCPUs 8 GB RAM
630,n2d-standard-4 - 4 vCPUs 16 GB RAM,n2d-standard-4,Google,4 vCPUs 16 GB RAM
633,n2d-standard-8 - 8 vCPUs 32 GB RAM,n2d-standard-8,Google,8 vCPUs 32 GB RAM
626,n2d-standard-16 - 16 vCPUs 64 GB RAM,n2d-standard-16,Google,16 vCPUs 64 GB RAM
629,n2d-standard-32 - 32 vCPUs 128 GB RAM,n2d-standard-32,Google,32 vCPUs 128 GB RAM
631,n2d-standard-48 - 48 vCPUs 192 GB RAM,n2d-standard-48,Google,48 vCPUs 192 GB RAM
632,n2d-standard-64 - 64 vCPUs 256 GB RAM,n2d-standard-64,Google,64 vCPUs 256 GB RAM
634,n2d-standard-80 - 80 vCPUs 320 GB RAM,n2d-standard-80,Google,80 vCPUs 320 GB RAM
635,n2d-standard-96 - 96 vCPUs 384 GB RAM,n2d-standard-96,Google,96 vCPUs 384 GB RAM
625,n2d-standard-128 - 128 vCPUs 512 GB RAM,n2d-standard-128,Google,128 vCPUs 512 GB RAM
628,n2d-standard-224 - 224 vCPUs 896 GB RAM,n2d-standard-224,Google,224 vCPUs 896 GB RAM
617,n2d-highmem-2 - 2 vCPUs 16 GB RAM,n2d-highmem-2,Google,2 vCPUs 16 GB RAM
619,n2d-highmem-4 - 4 vCPUs 32 GB RAM,n2d-highmem-4,Google,4 vCPUs 32 GB RAM
622,n2d-highmem-8 - 8 vCPUs 64 GB RAM,n2d-highmem-8,Google,8 vCPUs 64 GB RAM
616,n2d-highmem-16 - 16 vCPUs 128 GB RAM,n2d-highmem-16,Google,16 vCPUs 128 GB RAM
618,n2d-highmem-32 - 32 vCPUs 256 GB RAM,n2d-highmem-32,Google,32 vCPUs 256 GB RAM
620,n2d-highmem-48 - 48 vCPUs 384 GB RAM,n2d-highmem-48,Google,48 vCPUs 384 GB RAM
621,n2d-highmem-64 - 64 vCPUs 512 GB RAM,n2d-highmem-64,Google,64 vCPUs 512 GB RAM
623,n2d-highmem-80 - 80 vCPUs 640 GB RAM,n2d-highmem-80,Google,80 vCPUs 640 GB RAM
624,n2d-highmem-96 - 96 vCPUs 768 GB RAM,n2d-highmem-96,Google,96 vCPUs 768 GB RAM
607,n2d-highcpu-2 - 2 vCPUs 2 GB RAM,n2d-highcpu-2,Google,2 vCPUs 2 GB RAM
610,n2d-highcpu-4 - 4 vCPUs 4 GB RAM,n2d-highcpu-4,Google,4 vCPUs 4 GB RAM
613,n2d-highcpu-8 - 8 vCPUs 8 GB RAM,n2d-highcpu-8,Google,8 vCPUs 8 GB RAM
606,n2d-highcpu-16 - 16 vCPUs 16 GB RAM,n2d-highcpu-16,Google,16 vCPUs 16 GB RAM
609,n2d-highcpu-32 - 32 vCPUs 32 GB RAM,n2d-highcpu-32,Google,32 vCPUs 32 GB RAM
611,n2d-highcpu-48 - 48 vCPUs 48 GB RAM,n2d-highcpu-48,Google,48 vCPUs 48 GB RAM
612,n2d-highcpu-64 - 64 vCPUs 64 GB RAM,n2d-highcpu-64,Google,64 vCPUs 64 GB RAM
614,n2d-highcpu-80 - 80 vCPUs 80 GB RAM,n2d-highcpu-80,Google,80 vCPUs 80 GB RAM
615,n2d-highcpu-96 - 96 vCPUs 96 GB RAM,n2d-highcpu-96,Google,96 vCPUs 96 GB RAM
605,n2d-highcpu-128 - 128 vCPUs 128 GB RAM,n2d-highcpu-128,Google,128 vCPUs 128 GB RAM
608,n2d-highcpu-224 - 224 vCPUs 224 GB RAM,n2d-highcpu-224,Google,224 vCPUs 224 GB RAM
156,n2d-custom,n2d-custom-google,Google,n2d-custom
267,"c2d-highcpu-2 - 2 vCPUs, 4 GB RAM",c2d-highcpu-2,Google,"2 vCPUs, 4 GB RAM"
269,"c2d-highcpu-4 - 4 vCPUs, 8 GB RAM",c2d-highcpu-4,Google,"4 vCPUs, 8 GB RAM"
281,"c2d-standard-2 - 2 vCPUs, 8 GB RAM",c2d-standard-2,Google,"2 vCPUs, 8 GB RAM"
262,"c2-standard-4 - Compute Optimized: 4 vCPUs, 16 GB RAM",c2-standard-4,Google,"Compute Optimized: 4 vCPUs, 16 GB RAM"
271,"c2d-highcpu-8 - 8 vCPUs, 16 GB RAM",c2d-highcpu-8,Google,"8 vCPUs, 16 GB RAM"
274,"c2d-highmem-2 - 2 vCPUs, 16 GB RAM",c2d-highmem-2,Google,"2 vCPUs, 16 GB RAM"
283,"c2d-standard-4 - 4 vCPUs, 16 GB RAM",c2d-standard-4,Google,"4 vCPUs, 16 GB RAM"
264,"c2-standard-8 - Compute Optimized: 8 vCPUs, 32 GB RAM",c2-standard-8,Google,"Compute Optimized: 8 vCPUs, 32 GB RAM"
266,"c2d-highcpu-16 - 16 vCPUs, 32 GB RAM",c2d-highcpu-16,Google,"16 vCPUs, 32 GB RAM"
276,"c2d-highmem-4 - 4 vCPUs, 32 GB RAM",c2d-highmem-4,Google,"4 vCPUs, 32 GB RAM"
285,"c2d-standard-8 - 8 vCPUs, 32 GB RAM",c2d-standard-8,Google,"8 vCPUs, 32 GB RAM"
260,"c2-standard-16 - Compute Optimized: 16 vCPUs, 64 GB RAM",c2-standard-16,Google,"Compute Optimized: 16 vCPUs, 64 GB RAM"
268,"c2d-highcpu-32 - 32 vCPUs, 64 GB RAM",c2d-highcpu-32,Google,"32 vCPUs, 64 GB RAM"
278,"c2d-highmem-8 - 8 vCPUs, 64 GB RAM",c2d-highmem-8,Google,"8 vCPUs, 64 GB RAM"
280,"c2d-standard-16 - 16 vCPUs, 64 GB RAM",c2d-standard-16,Google,"16 vCPUs, 64 GB RAM"
270,"c2d-highcpu-56 - 56 vCPUs, 112 GB RAM",c2d-highcpu-56,Google,"56 vCPUs, 112 GB RAM"
261,"c2-standard-30 - Compute Optimized: 30 vCPUs, 120 GB RAM",c2-standard-30,Google,"Compute Optimized: 30 vCPUs, 120 GB RAM"
273,"c2d-highmem-16 - 16 vCPUs, 128 GB RAM",c2d-highmem-16,Google,"16 vCPUs, 128 GB RAM"
282,"c2d-standard-32 - 32 vCPUs, 128 GB RAM",c2d-standard-32,Google,"32 vCPUs, 128 GB RAM"
265,"c2d-highcpu-112 - 112 vCPUs, 224 GB RAM",c2d-highcpu-112,Google,"112 vCPUs, 224 GB RAM"
284,"c2d-standard-56 - 56 vCPUs, 224 GB RAM",c2d-standard-56,Google,"56 vCPUs, 224 GB RAM"
263,"c2-standard-60 - Compute Optimized: 60 vCPUs, 240 GB RAM",c2-standard-60,Google,"Compute Optimized: 60 vCPUs, 240 GB RAM"
275,"c2d-highmem-32 - 32 vCPUs, 256 GB RAM",c2d-highmem-32,Google,"32 vCPUs, 256 GB RAM"
277,"c2d-highmem-56 - 56 vCPUs, 448 GB RAM",c2d-highmem-56,Google,"56 vCPUs, 448 GB RAM"
279,"c2d-standard-112 - 112 vCPUs, 448 GB RAM",c2d-standard-112,Google,"112 vCPUs, 448 GB RAM"
272,"c2d-highmem-112 - 112 vCPUs, 896 GB RAM",c2d-highmem-112,Google,"112 vCPUs, 896 GB RAM"
530,"m1-megamem-96 - 96 vCPUs, 1.4 TB RAM",m1-megamem-96,Google,"96 vCPUs, 1.4 TB RAM"
532,"m1-ultramem-40 - 40 vCPUs, 961 GB RAM",m1-ultramem-40,Google,"40 vCPUs, 961 GB RAM"
533,"m1-ultramem-80 - 80 vCPUs, 1922 GB RAM",m1-ultramem-80,Google,"80 vCPUs, 1922 GB RAM"
531,"m1-ultramem-160 - 160 vCPUs, 3844 GB RAM",m1-ultramem-160,Google,"160 vCPUs, 3844 GB RAM"
244,"a2-highgpu-1g - Accelerator Optimized: 1 NVIDIA Tesla A100 GPU, 12 vCPUs, 85GB RAM",a2-highgpu-1g,Google,"Accelerator Optimized: 1 NVIDIA Tesla A100 GPU, 12 vCPUs, 85GB RAM"
245,"a2-highgpu-2g - Accelerator Optimized: 2 NVIDIA Tesla A100 GPUs, 24 vCPUs, 170GB RAM",a2-highgpu-2g,Google,"Accelerator Optimized: 2 NVIDIA Tesla A100 GPUs, 24 vCPUs, 170GB RAM"
246,"a2-highgpu-4g - Accelerator Optimized: 4 NVIDIA Tesla A100 GPUs, 48 vCPUs, 340GB RAM",a2-highgpu-4g,Google,"Accelerator Optimized: 4 NVIDIA Tesla A100 GPUs, 48 vCPUs, 340GB RAM"
247,"a2-highgpu-8g - Accelerator Optimized: 8 NVIDIA Tesla A100 GPUs, 96 vCPUs, 680GB RAM",a2-highgpu-8g,Google,"Accelerator Optimized: 8 NVIDIA Tesla A100 GPUs, 96 vCPUs, 680GB RAM"
248,"a2-megagpu-16g - Accelerator Optimized: 16 NVIDIA Tesla A100 GPUs, 96 vCPUs, 1360GB RAM",a2-megagpu-16g,Google,"Accelerator Optimized: 16 NVIDIA Tesla A100 GPUs, 96 vCPUs, 1360GB RAM"
406,"c4a-highcpu-1 - 1 vCPUs, 2 GB RAM",c4a-highcpu-1,Google,"1 vCPUs, 2 GB RAM"
449,"c4d-highcpu-2 - 2 vCPUs, 3 GB RAM",c4d-highcpu-2,Google,"2 vCPUs, 3 GB RAM"
353,"c4-highcpu-2 - 2 vCPUs, 4 GB RAM",c4-highcpu-2,Google,"2 vCPUs, 4 GB RAM"
408,"c4a-highcpu-2 - 2 vCPUs, 4 GB RAM",c4a-highcpu-2,Google,"2 vCPUs, 4 GB RAM"
431,"c4a-standard-1 - 1 vCPUs, 4 GB RAM",c4a-standard-1,Google,"1 vCPUs, 4 GB RAM"
637,"n4-highcpu-2 - 2 vCPUs, 4 GB RAM",n4-highcpu-2,Google,"2 vCPUs, 4 GB RAM"
660,"t2a-standard-1 - 1 vCPUs, 4 GB RAM",t2a-standard-1,Google,"1 vCPUs, 4 GB RAM"
667,"t2d-standard-1 - 1 vCPUs, 4 GB RAM",t2d-standard-1,Google,"1 vCPUs, 4 GB RAM"
390,"c4-standard-2 - 2 vCPUs, 7 GB RAM",c4-standard-2,Google,"2 vCPUs, 7 GB RAM"
452,"c4d-highcpu-4 - 4 vCPUs, 7 GB RAM",c4d-highcpu-4,Google,"4 vCPUs, 7 GB RAM"
479,"c4d-standard-2 - 2 vCPUs, 7 GB RAM",c4d-standard-2,Google,"2 vCPUs, 7 GB RAM"
288,"c3-highcpu-4 - 4 vCPUs, 8 GB RAM",c3-highcpu-4,Google,"4 vCPUs, 8 GB RAM"
316,"c3d-highcpu-4 - 4 vCPUs, 8 GB RAM",c3d-highcpu-4,Google,"4 vCPUs, 8 GB RAM"
358,"c4-highcpu-4 - 4 vCPUs, 8 GB RAM",c4-highcpu-4,Google,"4 vCPUs, 8 GB RAM"
410,"c4a-highcpu-4 - 4 vCPUs, 8 GB RAM",c4a-highcpu-4,Google,"4 vCPUs, 8 GB RAM"
415,"c4a-highmem-1 - 1 vCPUs, 8 GB RAM",c4a-highmem-1,Google,"1 vCPUs, 8 GB RAM"
434,"c4a-standard-2 - 2 vCPUs, 8 GB RAM",c4a-standard-2,Google,"2 vCPUs, 8 GB RAM"
639,"n4-highcpu-4 - 4 vCPUs, 8 GB RAM",n4-highcpu-4,Google,"4 vCPUs, 8 GB RAM"
653,"n4-standard-2 - 2 vCPUs, 8 GB RAM",n4-standard-2,Google,"2 vCPUs, 8 GB RAM"
662,"t2a-standard-2 - 2 vCPUs, 8 GB RAM",t2a-standard-2,Google,"2 vCPUs, 8 GB RAM"
669,"t2d-standard-2 - 2 vCPUs, 8 GB RAM",t2d-standard-2,Google,"2 vCPUs, 8 GB RAM"
368,"c4-highmem-2 - 2 vCPUs, 15 GB RAM",c4-highmem-2,Google,"2 vCPUs, 15 GB RAM"
398,"c4-standard-4 - 4 vCPUs, 15 GB RAM",c4-standard-4,Google,"4 vCPUs, 15 GB RAM"
399,"c4-standard-4-lssd - 4 vCPUs, 15 GB RAM",c4-standard-4-lssd,Google,"4 vCPUs, 15 GB RAM"
455,"c4d-highcpu-8 - 8 vCPUs, 15 GB RAM",c4d-highcpu-8,Google,"8 vCPUs, 15 GB RAM"
461,"c4d-highmem-2 - 2 vCPUs, 15 GB RAM",c4d-highmem-2,Google,"2 vCPUs, 15 GB RAM"
484,"c4d-standard-4 - 4 vCPUs, 15 GB RAM",c4d-standard-4,Google,"4 vCPUs, 15 GB RAM"
290,"c3-highcpu-8 - 8 vCPUs, 16 GB RAM",c3-highcpu-8,Google,"8 vCPUs, 16 GB RAM"
304,"c3-standard-4 - 4 vCPUs, 16 GB RAM",c3-standard-4,Google,"4 vCPUs, 16 GB RAM"
305,"c3-standard-4-lssd - 4 vCPUs, 16 GB RAM, 1 local SSD",c3-standard-4-lssd,Google,"4 vCPUs, 16 GB RAM, 1 local SSD"
318,"c3d-highcpu-8 - 8 vCPUs, 16 GB RAM",c3d-highcpu-8,Google,"8 vCPUs, 16 GB RAM"
343,"c3d-standard-4 - 4 vCPUs, 16 GB RAM",c3d-standard-4,Google,"4 vCPUs, 16 GB RAM"
360,"c4-highcpu-8 - 8 vCPUs, 16 GB RAM",c4-highcpu-8,Google,"8 vCPUs, 16 GB RAM"
414,"c4a-highcpu-8 - 8 vCPUs, 16 GB RAM",c4a-highcpu-8,Google,"8 vCPUs, 16 GB RAM"
418,"c4a-highmem-2 - 2 vCPUs, 16 GB RAM",c4a-highmem-2,Google,"2 vCPUs, 16 GB RAM"
437,"c4a-standard-4 - 4 vCPUs, 16 GB RAM",c4a-standard-4,Google,"4 vCPUs, 16 GB RAM"
438,"c4a-standard-4-lssd - 4 vCPUs, 16 GB RAM, 1 local SSD",c4a-standard-4-lssd,Google,"4 vCPUs, 16 GB RAM, 1 local SSD"
525,"g2-standard-4 - Graphics Optimized: 1 NVIDIA L4 GPU, 4 vCPUs, 16GB RAM",g2-standard-4,Google,"Graphics Optimized: 1 NVIDIA L4 GPU, 4 vCPUs, 16GB RAM"
642,"n4-highcpu-8 - 8 vCPUs, 16 GB RAM",n4-highcpu-8,Google,"8 vCPUs, 16 GB RAM"
645,"n4-highmem-2 - 2 vCPUs, 16 GB RAM",n4-highmem-2,Google,"2 vCPUs, 16 GB RAM"
655,"n4-standard-4 - 4 vCPUs, 16 GB RAM",n4-standard-4,Google,"4 vCPUs, 16 GB RAM"
664,"t2a-standard-4 - 4 vCPUs, 16 GB RAM",t2a-standard-4,Google,"4 vCPUs, 16 GB RAM"
671,"t2d-standard-4 - 4 vCPUs, 16 GB RAM",t2d-standard-4,Google,"4 vCPUs, 16 GB RAM"
402,"c4-standard-8 - 8 vCPUs, 30 GB RAM",c4-standard-8,Google,"8 vCPUs, 30 GB RAM"
403,"c4-standard-8-lssd - 8 vCPUs, 30 GB RAM",c4-standard-8-lssd,Google,"8 vCPUs, 30 GB RAM"
447,"c4d-highcpu-16 - 16 vCPUs, 30 GB RAM",c4d-highcpu-16,Google,"16 vCPUs, 30 GB RAM"
376,"c4-highmem-4 - 4 vCPUs, 31 GB RAM",c4-highmem-4,Google,"4 vCPUs, 31 GB RAM"
377,"c4-highmem-4-lssd - 4 vCPUs, 31 GB RAM",c4-highmem-4-lssd,Google,"4 vCPUs, 31 GB RAM"
466,"c4d-highmem-4 - 4 vCPUs, 31 GB RAM",c4d-highmem-4,Google,"4 vCPUs, 31 GB RAM"
489,"c4d-standard-8 - 8 vCPUs, 31 GB RAM",c4d-standard-8,Google,"8 vCPUs, 31 GB RAM"
490,"c4d-standard-8-lssd - 8 vCPUs, 31 GB RAM, 1 local SSD",c4d-standard-8-lssd,Google,"8 vCPUs, 31 GB RAM, 1 local SSD"
295,"c3-highmem-4 - 4 vCPUs, 32 GB RAM",c3-highmem-4,Google,"4 vCPUs, 32 GB RAM"
308,"c3-standard-8 - 8 vCPUs, 32 GB RAM",c3-standard-8,Google,"8 vCPUs, 32 GB RAM"
309,"c3-standard-8-lssd - 8 vCPUs, 32 GB RAM, 2 local SSDs",c3-standard-8-lssd,Google,"8 vCPUs, 32 GB RAM, 2 local SSDs"
312,"c3d-highcpu-16 - 16 vCPUs, 32 GB RAM",c3d-highcpu-16,Google,"16 vCPUs, 32 GB RAM"
328,"c3d-highmem-4 - 4 vCPUs, 32 GB RAM",c3d-highmem-4,Google,"4 vCPUs, 32 GB RAM"
346,"c3d-standard-8 - 8 vCPUs, 32 GB RAM",c3d-standard-8,Google,"8 vCPUs, 32 GB RAM"
347,"c3d-standard-8-lssd - 8 vCPUs, 32 GB RAM, 1 local SSD",c3d-standard-8-lssd,Google,"8 vCPUs, 32 GB RAM, 1 local SSD"
351,"c4-highcpu-16 - 16 vCPUs, 32 GB RAM",c4-highcpu-16,Google,"16 vCPUs, 32 GB RAM"
407,"c4a-highcpu-16 - 16 vCPUs, 32 GB RAM",c4a-highcpu-16,Google,"16 vCPUs, 32 GB RAM"
421,"c4a-highmem-4 - 4 vCPUs, 32 GB RAM",c4a-highmem-4,Google,"4 vCPUs, 32 GB RAM"
422,"c4a-highmem-4-lssd - 4 vCPUs, 32 GB RAM, 1 local SSD",c4a-highmem-4-lssd,Google,"4 vCPUs, 32 GB RAM, 1 local SSD"
445,"c4a-standard-8 - 8 vCPUs, 32 GB RAM",c4a-standard-8,Google,"8 vCPUs, 32 GB RAM"
446,"c4a-standard-8-lssd - 8 vCPUs, 32 GB RAM, 2 local SSD",c4a-standard-8-lssd,Google,"8 vCPUs, 32 GB RAM, 2 local SSD"
527,"g2-standard-8 - Graphics Optimized: 1 NVIDIA L4 GPU, 8 vCPUs, 32GB RAM",g2-standard-8,Google,"Graphics Optimized: 1 NVIDIA L4 GPU, 8 vCPUs, 32GB RAM"
636,"n4-highcpu-16 - 16 vCPUs, 32 GB RAM",n4-highcpu-16,Google,"16 vCPUs, 32 GB RAM"
647,"n4-highmem-4 - 4 vCPUs, 32 GB RAM",n4-highmem-4,Google,"4 vCPUs, 32 GB RAM"
658,"n4-standard-8 - 8 vCPUs, 32 GB RAM",n4-standard-8,Google,"8 vCPUs, 32 GB RAM"
666,"t2a-standard-8 - 8 vCPUs, 32 GB RAM",t2a-standard-8,Google,"8 vCPUs, 32 GB RAM"
674,"t2d-standard-8 - 8 vCPUs, 32 GB RAM",t2d-standard-8,Google,"8 vCPUs, 32 GB RAM"
